Date,Open,High,Low,Close,Volume,stock_price
1/4/2010,30.62,31.1,30.19,30.66,49619600,27.05
1/11/2010,30.71,31.24,29.91,30.86,65934300,27.23
1/19/2010,30.75,31.24,28.84,28.96,69129100,25.55
1/25/2010,29.24,29.92,27.66,28.18,101072900,24.86
2/1/2010,28.39,28.79,27.57,28.02,72110500,24.72
2/8/2010,28.01,28.4,27.57,27.93,61543700,24.64
2/16/2010,28.13,29.03,28.02,28.77,46281700,25.5
2/22/2010,28.84,28.94,28.02,28.67,44249000,25.41
3/1/2010,28.77,29.3,28.24,28.59,56852700,25.34
3/8/2010,28.52,29.38,28.5,29.27,40325400,25.94
3/15/2010,29.18,29.9,29.01,29.59,49959700,26.23
3/22/2010,29.5,30.57,29.39,29.66,48499300,26.29
3/29/2010,29.71,29.86,28.62,29.16,51704700,25.85
4/5/2010,29.13,30.41,28.98,30.34,51696600,26.89
4/12/2010,30.25,31,30.13,30.67,57766600,27.19
4/19/2010,30.77,31.58,30.65,30.96,76825400,27.44
4/26/2010,31,31.43,30.52,30.54,62563600,27.07
5/3/2010,30.67,31.06,27.32,28.21,99048000,25.01
5/10/2010,29.01,29.73,28.57,28.93,61222400,25.64
5/17/2010,29.12,29.23,26.44,26.84,73215600,23.9
5/24/2010,26.85,26.86,24.56,25.8,110539900,22.97
6/1/2010,25.53,26.93,25.52,25.79,74885100,22.96
6/7/2010,25.82,25.83,24.65,25.66,80518700,22.85
6/14/2010,25.86,26.67,25.47,26.44,56276600,23.54
6/21/2010,26.78,26.89,24.31,24.53,82715400,21.84
6/28/2010,24.51,24.61,22.73,23.27,85888300,20.72
7/6/2010,23.7,24.62,23.58,24.27,64530300,21.61
7/12/2010,24.43,25.64,24.42,24.89,61318100,22.16
7/19/2010,24.96,26.02,24.7,25.81,67709200,22.98
7/26/2010,25.86,26.41,25.35,25.81,70121500,22.98
8/2/2010,25.99,26.38,25.02,25.55,62271600,22.75
8/9/2010,25.55,25.73,24.24,24.4,67321000,21.73
8/16/2010,24.36,24.96,24.2,24.23,48853100,21.69
8/23/2010,24.44,24.64,23.51,23.93,55123000,21.42
8/30/2010,23.74,24.45,23.32,24.29,57957900,21.74
9/7/2010,24.1,24.3,23.74,23.85,55438500,21.35
9/13/2010,24.2,25.53,24.09,25.22,74586500,22.58
9/20/2010,25.28,25.52,24.36,24.78,58992800,22.18
9/27/2010,24.85,24.99,24.3,24.38,53579600,21.82
10/4/2010,23.96,24.75,23.78,24.57,63641900,21.99
10/11/2010,24.74,25.55,24.43,25.54,54793900,22.86
10/18/2010,25.59,25.95,24.95,25.38,49327000,22.72
10/25/2010,25.24,27.2,25.06,26.67,75989100,23.87
11/1/2010,26.88,27.49,26.53,26.85,86224500,24.03
11/8/2010,26.68,28.87,26.1,26.27,61904400,23.52
11/15/2010,26.33,26.5,25.55,25.69,57474100,23.14
11/22/2010,25.65,25.74,25.09,25.25,50318800,22.74
11/29/2010,25.19,27.06,24.93,27.02,70078000,24.34
12/6/2010,26.93,27.4,26.76,27.34,44113100,24.62
12/13/2010,27.27,28.09,27.17,27.9,65357000,25.13
12/20/2010,27.95,28.4,27.68,28.3,39529700,25.49
12/27/2010,28.12,28.2,27.63,27.91,21947100,25.14
1/3/2011,28.05,28.85,27.77,28.6,65727200,25.76
1/10/2011,28.26,28.59,27.91,28.3,58053900,25.49
1/18/2011,28.16,28.74,28.02,28.02,55005600,25.24
1/24/2011,28.02,29.46,27.45,27.75,91460200,24.99
1/31/2011,27.77,28.11,27.42,27.77,54883200,25.01
2/7/2011,27.8,28.34,27.07,27.25,63480400,24.54
2/14/2011,27.21,27.37,26.6,27.06,59515100,24.52
2/22/2011,26.78,27.1,26.43,26.55,59655900,24.05
2/28/2011,26.69,26.86,25.8,25.95,59760300,23.51
3/7/2011,26.13,26.27,25.35,25.68,54354900,23.27
3/14/2011,25.49,25.76,24.68,24.8,75849900,22.47
3/21/2011,25.18,25.95,25.15,25.62,43493800,23.21
3/28/2011,25.66,25.72,25.3,25.48,51616700,23.08
4/4/2011,25.45,26.31,25.41,26.07,52137700,23.62
4/11/2011,26.19,26.25,25.09,25.37,45934300,22.98
4/18/2011,25.1,26,24.72,25.52,51359600,23.12
4/25/2011,25.56,26.87,25.34,25.92,110986400,23.48
5/2/2011,25.94,26.25,25.48,25.87,69320700,23.44
5/9/2011,25.8,25.96,24.95,25.03,76461400,22.68
5/16/2011,24.96,25.07,24.25,24.49,62279800,22.33
5/23/2011,24.21,25.03,24.03,24.76,52711200,22.58
5/31/2011,24.96,25.1,23.84,23.91,61603800,21.8
6/6/2011,23.89,24.25,23.69,23.71,46060400,21.62
6/13/2011,23.79,24.45,23.65,24.26,56076300,22.12
6/20/2011,24.17,24.86,24.16,24.3,61838400,22.16
6/27/2011,24.23,26.17,24.23,26.02,68913700,23.73
7/5/2011,26.1,26.98,25.9,26.92,49204100,24.55
7/11/2011,26.62,27.01,26.34,26.78,45539100,24.42
7/18/2011,26.63,27.64,26.26,27.53,67829100,25.1
7/25/2011,27.26,28.15,27.19,27.4,88552700,24.99
8/1/2011,27.51,27.69,25.23,25.68,79064700,23.42
8/8/2011,25.02,25.62,24.03,25.1,108764600,22.89
8/15/2011,25.24,25.7,23.91,24.05,68963300,22.07
8/22/2011,24.42,25.34,23.79,25.25,55974000,23.17
8/29/2011,25.53,26.86,25.37,25.8,51982100,23.68
9/6/2011,25.2,26.66,25.11,25.74,56807800,23.62
9/12/2011,25.44,27.27,25.27,27.12,65613400,24.89
9/19/2011,26.8,27.5,24.6,25.06,67066700,23
9/26/2011,25.19,26.37,24.73,24.89,56976400,22.84
10/3/2011,24.72,26.51,24.26,26.25,69998400,24.09
10/10/2011,26.58,27.5,26.47,27.27,45580500,25.02
10/17/2011,27.11,27.47,26.4,27.16,57548400,24.92
10/24/2011,27.06,27.4,26.1,26.98,61141300,24.76
10/31/2011,26.76,27,25.7,26.25,52780000,24.09
11/7/2011,26.21,27.2,26.06,26.91,44756100,24.69
11/14/2011,26.88,27,25.15,25.3,49987900,23.39
11/21/2011,25.24,25.25,24.3,24.3,46587800,22.47
11/28/2011,24.94,25.63,24.69,25.22,53974700,23.32
12/5/2011,25.78,25.87,25.34,25.7,55994200,23.76
12/12/2011,25.41,26.17,25.29,26,57815000,24.04
12/19/2011,26.02,26.19,25.44,26.03,47231600,24.07
12/27/2011,25.96,26.15,25.76,25.96,25280500,24
1/3/2012,26.55,28.19,26.39,28.11,75196100,25.99
1/9/2012,28.05,28.25,27.37,28.25,58974100,26.12
1/17/2012,28.4,29.74,27.97,29.71,94303000,27.47
1/23/2012,29.55,29.95,29.07,29.23,56060700,27.03
1/30/2012,28.97,30.4,28.83,30.24,52631700,27.96
2/6/2012,30.04,30.8,29.97,30.5,42405600,28.2
2/13/2012,30.63,31.55,29.85,31.25,60203300,29.08
2/21/2012,31.18,31.68,31,31.48,42673300,29.3
2/27/2012,31.24,32.44,31.1,32.08,52756100,29.86
3/5/2012,32.01,32.21,31.49,31.99,40577800,29.77
3/12/2012,31.97,32.95,31.82,32.6,47941300,30.34
3/19/2012,32.54,32.61,31.72,32.01,38389200,29.79
3/26/2012,32.19,32.7,31.81,32.26,36633100,30.02
4/2/2012,32.22,32.46,31.05,31.52,44607500,29.33
4/9/2012,31.22,31.4,30.23,30.81,41250900,28.67
4/16/2012,30.99,32.89,30.77,32.42,54773000,30.17
4/23/2012,32.31,32.52,31.83,31.98,49298400,29.76
4/30/2012,31.98,32.34,30.92,30.98,41268600,28.83
5/7/2012,30.7,31.54,30.1,31.16,46515500,29
5/14/2012,30.82,31.04,29.17,29.27,53424900,27.42
5/21/2012,29.1,29.88,28.64,29.06,45109200,27.22
5/29/2012,29.38,29.72,28.44,28.45,43778100,26.65
6/4/2012,28.62,29.7,28.32,29.65,44169200,27.78
6/11/2012,29.73,30.08,28.82,30.02,43291500,28.12
6/18/2012,29.99,31.14,29.71,30.7,52843500,28.76
6/25/2012,30.3,30.69,29.42,30.59,42995100,28.66
7/2/2012,30.62,30.78,29.95,30.19,29655900,28.28
7/9/2012,30.12,30.23,28.54,29.39,42001600,27.53
7/16/2012,29.48,31.05,29.04,30.12,42689400,28.22
7/23/2012,29.57,29.85,28.78,29.76,47599700,27.88
7/30/2012,29.75,29.94,28.97,29.75,34725500,27.87
8/6/2012,30,30.65,29.81,30.42,26892600,28.5
8/13/2012,30.35,30.94,30.01,30.9,30065700,29.14
8/20/2012,30.82,30.96,30.08,30.56,27459300,28.82
8/27/2012,30.93,30.96,30.22,30.82,28511600,29.06
9/4/2012,30.45,31.36,30.15,30.95,43306800,29.18
9/10/2012,30.83,31.25,30.4,31.21,38992300,29.43
9/17/2012,31.19,31.61,30.91,31.19,53559000,29.41
9/24/2012,31,31.07,29.74,29.76,51424700,28.06
10/1/2012,29.81,30.25,29.42,29.85,45761200,28.15
10/8/2012,29.64,29.92,28.8,29.2,42010600,27.53
10/15/2012,29.37,29.74,28.5,28.64,56819000,27.01
10/22/2012,28.73,28.83,27.76,28.21,62596700,26.6
10/31/2012,28.55,29.77,28.5,29.5,66214500,27.82
11/5/2012,29.62,30.2,28.8,28.83,46495400,27.19
11/12/2012,28.94,29.01,26.34,26.52,76785300,25.21
11/19/2012,26.8,27.77,26.46,27.7,57113900,26.33
11/26/2012,27.54,27.58,26.49,26.62,67295400,25.31
12/3/2012,26.78,26.98,26.26,26.46,51315900,25.16
12/10/2012,26.56,27.62,26.52,26.81,46087500,25.49
12/17/2012,26.79,27.73,26.68,27.45,59487300,26.1
12/24/2012,27.2,27.25,26.55,26.55,30026800,25.24
12/31/2012,26.59,27.73,26.37,26.74,49116000,25.42
1/7/2013,26.77,26.98,26.28,26.83,51560900,25.51
1/14/2013,26.9,27.47,26.76,27.25,48299900,25.91
1/22/2013,27.3,28.23,27,27.88,73156300,26.51
1/28/2013,28.01,28.23,27.4,27.93,50995100,26.55
2/4/2013,27.87,28.02,27.1,27.55,39837300,26.19
2/11/2013,27.65,28.16,27.5,28.01,38453600,26.63
2/19/2013,27.88,28.2,27.23,27.76,40849000,26.61
2/25/2013,27.97,28.05,27.33,27.95,41003900,26.79
3/4/2013,27.85,28.54,27.7,28,39580500,26.84
3/11/2013,27.94,28.16,27.64,28.04,50720200,26.88
3/18/2013,27.88,28.49,27.81,28.25,39022500,27.08
3/25/2013,28.3,28.66,27.96,28.61,40869800,27.43
4/1/2013,28.64,28.95,28.11,28.7,37782100,27.51
4/8/2013,28.73,30.32,28.47,28.79,75483900,27.6
4/15/2013,28.65,30.24,28.5,29.77,63733600,28.54
4/22/2013,30.3,32.84,30.27,31.79,89295400,30.47
4/29/2013,31.8,33.52,31.77,33.49,56291300,32.1
5/6/2013,33.42,33.91,32.32,32.69,43693000,31.34
5/13/2013,32.61,34.87,32.55,34.87,51850200,33.66
5/20/2013,34.73,35.27,33.9,34.27,50609500,33.08
5/28/2013,34.42,35.28,34.41,34.9,48480200,33.69
6/3/2013,34.92,35.78,34.43,35.67,48236600,34.43
6/10/2013,35.51,35.65,34.25,34.4,42330100,33.21
6/17/2013,34.69,35.17,33.05,33.27,49787000,32.12
6/24/2013,32.94,34.79,32.57,34.54,48677300,33.34
7/1/2013,34.75,34.99,33.58,34.21,27691400,33.02
7/8/2013,34.35,35.77,33.98,35.67,35302700,34.43
7/15/2013,35.66,36.43,31.02,31.4,81156300,30.31
7/22/2013,31.7,32.19,31.21,31.62,59900100,30.52
7/29/2013,31.47,32.12,31.4,31.89,38065200,30.78
8/5/2013,31.9,33.07,31.25,32.7,38245800,31.57
8/12/2013,32.46,33.36,30.84,31.8,35936300,30.91
8/19/2013,31.76,35.2,31.37,34.75,68990900,33.78
8/26/2013,34.4,34.67,32.8,33.4,52728200,32.47
9/3/2013,31.75,32.07,30.95,31.15,110976800,30.28
9/9/2013,31.22,33.07,31.2,33.03,43871200,32.11
9/16/2013,33.38,33.68,32.69,32.79,69317500,31.88
9/23/2013,32.54,33.75,32.15,33.27,38654100,32.34
9/30/2013,33,34.03,32.7,33.88,39043300,32.94
10/7/2013,33.6,34.14,32.8,34.13,36974700,33.18
10/14/2013,33.9,34.99,33.78,34.96,36627600,33.99
10/21/2013,34.98,36.29,33.57,35.73,58635200,34.73
10/28/2013,35.61,35.79,35.26,35.53,37806000,34.54
11/4/2013,35.59,38.22,35.55,37.78,53173300,36.73
11/11/2013,37.69,38.16,36.9,37.84,40053300,36.78
11/18/2013,37.35,37.68,36.67,37.57,36165800,36.8
11/25/2013,37.93,38.29,37.35,38.13,28301100,37.35
12/2/2013,38.09,38.98,37.18,38.36,59961200,37.57
12/9/2013,38.56,38.9,36.62,36.69,36809300,35.94
12/16/2013,36.73,37.11,35.53,36.8,47484600,36.05
12/23/2013,36.81,37.62,36.55,37.29,17886800,36.53
12/30/2013,37.22,37.58,36.6,36.91,23890200,36.15
1/6/2014,36.85,36.89,35.4,36.04,43288600,35.3
1/13/2014,35.99,37,34.63,36.38,43324800,35.63
1/21/2014,36.82,37.55,35.52,36.81,43455200,36.05
1/27/2014,36.87,37.89,35.75,37.84,52314100,37.06
2/3/2014,37.74,37.99,35.69,36.56,48637500,35.81
2/10/2014,36.63,37.86,36.29,37.62,31000600,36.85
2/18/2014,37.63,38.35,37.21,37.98,32032900,37.48
2/24/2014,37.69,38.46,37.19,38.31,35796300,37.81
3/3/2014,37.92,38.48,37.49,37.9,25442700,37.4
3/10/2014,37.99,38.45,37.51,37.7,26816400,37.2
3/17/2014,37.9,40.94,37.79,40.16,52026400,39.63
3/24/2014,40.34,40.99,39.34,40.3,42022100,39.77
3/31/2014,40.43,41.66,39.64,39.87,37941400,39.34
4/7/2014,39.96,40.69,39,39.21,36233500,38.69
4/14/2014,39.11,40.42,38.9,40.01,33320100,39.48
4/21/2014,40.13,40.68,39.3,39.91,34627800,39.38
4/28/2014,40.14,41.29,39.66,39.69,37581800,39.17
5/5/2014,39.52,39.9,38.51,39.54,30617100,39.02
5/12/2014,39.74,40.5,39.27,39.83,27253200,39.58
5/19/2014,39.61,40.37,39.46,40.12,21295700,39.87
5/27/2014,40.26,40.97,39.81,40.94,26581900,40.69
6/2/2014,40.95,41.66,39.86,41.48,23141500,41.22
6/9/2014,41.39,41.57,40.29,41.23,20861100,40.97
6/16/2014,41.04,41.91,40.34,41.68,28282800,41.42
6/23/2014,41.73,42.29,41.43,42.25,32709300,41.99
6/30/2014,42.17,42.21,41.53,41.8,23474900,41.54
7/7/2014,41.75,42.12,41.05,42.09,23510800,41.83
7/14/2014,42.22,45.71,42.03,44.69,47907100,44.41
7/21/2014,44.56,45.45,44.22,44.5,38105200,44.22
7/28/2014,44.36,44.51,42.6,42.86,30415300,42.59
8/4/2014,42.97,43.47,42.21,43.2,28887000,42.93
8/11/2014,43.26,44.9,43,44.79,25119300,44.51
8/18/2014,44.94,45.47,44.68,45.15,24076200,45.15
8/25/2014,45.4,45.44,44.61,45.43,18374200,45.43
9/2/2014,45.43,45.93,44.53,45.91,29999800,45.91
9/8/2014,46.02,47.02,45.99,46.7,36147600,46.7
9/15/2014,46.54,47.57,46.1,47.52,68360100,47.52
9/22/2014,47.3,47.38,45.76,46.41,31736500,46.41
9/29/2014,45.98,46.56,45.61,46.09,30935700,46.09
10/6/2014,46.12,46.89,43.95,44.03,33111500,44.03
10/13/2014,43.82,44.56,42.1,43.63,45015800,43.63
10/20/2014,43.06,45.07,42.81,44.38,34828300,44.38
